url,topic,title,subtitle,author,datetime_posted,label,card_id
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,"Scoop: The special master investigation is over, source says",Daniel Arkin,2023-04-19T00:39:07.836Z,NBC News,rcrd12612
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Dominion settlement ranks among biggest for U.S. defamation suits,ZoÃ« Richards | Jane C. Timm,2023-04-18T23:44:36.165Z,NBC News,rcrd12610
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Bill O'Reilly on Dominion settlement: 'The nightmare will continue' for Fox,Julia Jester,2023-04-18T23:23:22.087Z,NBC News,rcrd12611
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Dominion suggests no on-air apology coming from Fox,Julia Jester,2023-04-18T23:02:37.125Z,NBC News,rcrd12609
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,,NBC News,2023-04-18T22:08:40.834Z,NBC News,rcrd12608
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Dominion lawyer on Fox settlement: 'The truth matters',Zoe Richards,2023-04-18T21:38:57.318Z,NBC News,rcrd12606
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Dominion CEO full statement on settlement and Fox 'telling lies',Phil Mccausland,2023-04-18T21:03:06.931Z,NBC News,rcrd12603
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,,NBC News,2023-04-18T20:40:03.808Z,NBC News,rcrd12600
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Smartmatic pledges to 'expose the rest' of Fox's 'disinformation campaign' in its own lawsuit,"Lillian Rizzo, CNBC | Daniel Arkin",2023-04-18T20:33:50.208Z,NBC News,rcrd12599
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Dominion CEO: âFox has admitted to telling liesâ,Phil Mccausland,2023-04-18T20:30:08.878Z,NBC News,rcrd12597
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Fox Corp. shares decline briefly after settlement announcement,Jason Abbruzzese,2023-04-18T20:29:10.646Z,NBC News,rcrd12598
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Media Matters president calls Fox News 'partisan propaganda outlet',Zoe Richards,2023-04-18T20:28:12.440Z,NBC News,rcrd12594
https://www.nbcnews.com/media/live-blog/-fox-news-dominion-trial-live-updates-rcna79492,media,Fox News and Dominion reach settlement on first day of trial,Dominion settled with Fox for $787.5 million,Jane C Timm,2023-04-18T20:23:25.019Z,NBC News,rcrd12596
